Labeled Size,sgd,adam,adamw,rmsprop
1000,69.478,77.368,72.776,75.80999999999999
2000,74.982,79.962,75.178,78.904
3000,78.674,81.73,77.68,81.066
4000,81.52600000000001,83.298,79.378,82.428
5000,83.78999999999999,84.40599999999999,80.67599999999999,83.72200000000001
6000,85.24,85.626,82.176,84.896
7000,86.37199999999999,86.158,83.53999999999999,85.876
8000,87.06199999999998,87.03,84.09599999999999,86.802
9000,87.89200000000001,87.69800000000001,85.13000000000001,87.37800000000001
10000,88.502,88.256,86.01200000000001,87.962
